genes	counts
geneID00001	61
geneID00002	242
geneID00003	145
geneID00004	421
geneID00005	580
geneID00006	737
geneID00007	6
geneID00008	0
geneID00009	1814
geneID00010	2484
geneID00011	5037
geneID00012	82
geneID00013	0
geneID00014	250
geneID00015	12
geneID00016	391
geneID00017	8
geneID00018	674
geneID00019	943
geneID00020	13
geneID00021	10
geneID00022	23
geneID00023	391
geneID00024	379
geneID00025	96
geneID00026	187
geneID00027	104
geneID00028	4
geneID00029	309
geneID00030	0
geneID00031	238
geneID00032	983
geneID00033	1
geneID00034	2
geneID00035	4537
geneID00036	27
geneID00037	173
geneID00038	0
geneID00039	55
geneID00040	337
geneID00041	57
geneID00042	0
geneID00043	0
geneID00044	0
geneID00045	6
geneID00046	221
geneID00047	156
geneID00048	62
geneID00049	0
geneID00050	0
geneID00051	45
geneID00052	0
geneID00053	1
geneID00054	394
geneID00055	59
geneID00056	481
geneID00057	16
geneID00058	0
geneID00059	826
geneID00060	988
geneID00061	1
geneID00062	19
geneID00063	0
geneID00064	1
geneID00065	236
geneID00066	653
geneID00067	5080
geneID00068	563
geneID00069	1
geneID00070	286
geneID00071	17
geneID00072	38
geneID00073	0
geneID00074	285
geneID00075	21
geneID00076	38
geneID00077	368
geneID00078	147
geneID00079	96
geneID00080	339
geneID00081	133
geneID00082	15
geneID00083	69
geneID00084	201
geneID00085	103
geneID00086	994
geneID00087	760
geneID00088	16
geneID00089	646
geneID00090	289
geneID00091	84
geneID00092	397
geneID00093	114
geneID00094	94
geneID00095	521
geneID00096	296
geneID00097	235
geneID00098	356
geneID00099	282
geneID00100	1012
geneID00101	580
geneID00102	0
geneID00103	288
geneID00104	93
geneID00105	112
geneID00106	127
geneID00107	5
geneID00108	0
geneID00109	103
geneID00110	85
geneID00111	120
geneID00112	6
geneID00113	0
geneID00114	1032
geneID00115	626
geneID00116	316
geneID00117	426
geneID00118	353
geneID00119	687
geneID00120	1659
geneID00121	280
geneID00122	2207
geneID00123	378
geneID00124	187
geneID00125	217
geneID00126	38
geneID00127	2068
geneID00128	0
geneID00129	14
geneID00130	0
geneID00131	1
geneID00132	97
geneID00133	274
geneID00134	3478
geneID00135	195
geneID00136	56
geneID00137	341
geneID00138	0
geneID00139	0
geneID00140	388
geneID00141	5
geneID00142	1
geneID00143	14
geneID00144	0
geneID00145	198
geneID00146	52
geneID00147	3
geneID00148	0
geneID00149	18
geneID00150	0
geneID00151	307
geneID00152	83
geneID00153	7
geneID00154	0
geneID00155	1
geneID00156	17
geneID00157	3
geneID00158	208
geneID00159	0
geneID00160	1910
geneID00161	0
geneID00162	0
geneID00163	4
geneID00164	0
geneID00165	0
geneID00166	4271
geneID00167	0
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	0
geneID00174	221
