genes	counts
geneID00001	89
geneID00002	302
geneID00003	246
geneID00004	909
geneID00005	733
geneID00006	548
geneID00007	17
geneID00008	0
geneID00009	2416
geneID00010	3119
geneID00011	4838
geneID00012	125
geneID00013	0
geneID00014	347
geneID00015	16
geneID00016	456
geneID00017	8
geneID00018	814
geneID00019	945
geneID00020	11
geneID00021	9
geneID00022	28
geneID00023	439
geneID00024	727
geneID00025	138
geneID00026	303
geneID00027	151
geneID00028	8
geneID00029	572
geneID00030	0
geneID00031	313
geneID00032	1505
geneID00033	1
geneID00034	7
geneID00035	8019
geneID00036	20
geneID00037	285
geneID00038	0
geneID00039	103
geneID00040	406
geneID00041	94
geneID00042	1
geneID00043	0
geneID00044	0
geneID00045	28
geneID00046	413
geneID00047	298
geneID00048	139
geneID00049	0
geneID00050	0
geneID00051	61
geneID00052	0
geneID00053	0
geneID00054	516
geneID00055	111
geneID00056	676
geneID00057	20
geneID00058	0
geneID00059	1272
geneID00060	1401
geneID00061	2
geneID00062	24
geneID00063	2
geneID00064	0
geneID00065	426
geneID00066	833
geneID00067	6895
geneID00068	1068
geneID00069	0
geneID00070	471
geneID00071	35
geneID00072	63
geneID00073	0
geneID00074	460
geneID00075	21
geneID00076	52
geneID00077	532
geneID00078	103
geneID00079	85
geneID00080	389
geneID00081	203
geneID00082	20
geneID00083	146
geneID00084	435
geneID00085	143
geneID00086	1692
geneID00087	973
geneID00088	28
geneID00089	768
geneID00090	405
geneID00091	72
geneID00092	542
geneID00093	169
geneID00094	170
geneID00095	895
geneID00096	414
geneID00097	384
geneID00098	426
geneID00099	502
geneID00100	2004
geneID00101	794
geneID00102	0
geneID00103	374
geneID00104	108
geneID00105	226
geneID00106	231
geneID00107	9
geneID00108	0
geneID00109	149
geneID00110	188
geneID00111	203
geneID00112	6
geneID00113	0
geneID00114	1998
geneID00115	868
geneID00116	426
geneID00117	628
geneID00118	635
geneID00119	918
geneID00120	2147
geneID00121	501
geneID00122	3166
geneID00123	431
geneID00124	248
geneID00125	237
geneID00126	54
geneID00127	3817
geneID00128	0
geneID00129	31
geneID00130	0
geneID00131	3
geneID00132	133
geneID00133	398
geneID00134	4106
geneID00135	384
geneID00136	120
geneID00137	451
geneID00138	0
geneID00139	0
geneID00140	550
geneID00141	55
geneID00142	0
geneID00143	15
geneID00144	1
geneID00145	342
geneID00146	84
geneID00147	3
geneID00148	0
geneID00149	43
geneID00150	0
geneID00151	407
geneID00152	144
geneID00153	10
geneID00154	0
geneID00155	4
geneID00156	34
geneID00157	2
geneID00158	252
geneID00159	1
geneID00160	2781
geneID00161	0
geneID00162	10
geneID00163	8
geneID00164	1
geneID00165	0
geneID00166	5054
geneID00167	0
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	4
geneID00174	286
geneID00175	6
geneID00176	56
geneID00177	42
geneID00178	288
geneID00179	1568
geneID00180	0
geneID00181	2
geneID00182	381
geneID00183	5103
geneID00184	148
geneID00185	154
geneID00186	0
geneID00187	15249
geneID00188	0
geneID00189	316
geneID00190	38
geneID00191	1
geneID00192	169
geneID00193	13
geneID00194	4
geneID00195	2012
geneID00196	0
geneID00197	85
geneID00198	773
geneID00199	307
geneID00200	904
geneID00201	9
geneID00202	806
geneID00203	2
geneID00204	638
geneID00205	20
geneID00206	19
geneID00207	355
geneID00208	0
geneID00209	372
geneID00210	1
geneID00211	515
geneID00212	603
geneID00213	1
geneID00214	0
geneID00215	0
geneID00216	315
geneID00217	865
geneID00218	0
geneID00219	36
geneID00220	1457
geneID00221	4
geneID00222	1071
geneID00223	270
geneID00224	155
geneID00225	0
geneID00226	286
geneID00227	854
geneID00228	6
geneID00229	3229
geneID00230	1012
geneID00231	389
geneID00232	945
geneID00233	16
geneID00234	189
geneID00235	291
geneID00236	1
geneID00237	114
geneID00238	705
geneID00239	345
geneID00240	0
geneID00241	471
geneID00242	141
geneID00243	147
geneID00244	656
geneID00245	172
geneID00246	240
geneID00247	1200
geneID00248	0
geneID00249	1054
geneID00250	72
geneID00251	1033
geneID00252	696
geneID00253	537
geneID00254	462
geneID00255	267
geneID00256	3
geneID00257	19
geneID00258	1002
geneID00259	108
geneID00260	175
geneID00261	3
geneID00262	791
geneID00263	632
geneID00264	4848
geneID00265	0
geneID00266	39
geneID00267	72
geneID00268	212
geneID00269	708
geneID00270	119
geneID00271	15
geneID00272	344
geneID00273	482
geneID00274	3080
geneID00275	148
geneID00276	6
geneID00277	3824
geneID00278	94
geneID00279	13
geneID00280	4
geneID00281	3419
geneID00282	499
geneID00283	1
geneID00284	44
geneID00285	0
geneID00286	115
geneID00287	318
geneID00288	141
geneID00289	225
geneID00290	156
geneID00291	1766
geneID00292	0
geneID00293	7
geneID00294	0
geneID00295	81
geneID00296	547
geneID00297	27
geneID00298	4
geneID00299	2105
geneID00300	103
geneID00301	0
geneID00302	0
geneID00303	711
geneID00304	39
geneID00305	1268
geneID00306	16
geneID00307	432
geneID00308	36
geneID00309	164
geneID00310	302
geneID00311	105
geneID00312	66
geneID00313	0
geneID00314	41
geneID00315	148
geneID00316	198
geneID00317	780
geneID00318	153
geneID00319	1020
geneID00320	111
geneID00321	257
geneID00322	3458
geneID00323	24
geneID00324	58
geneID00325	258
geneID00326	1375
geneID00327	232
geneID00328	1223
geneID00329	42
geneID00330	463
geneID00331	3822
geneID00332	0
geneID00333	0
geneID00334	1086
geneID00335	600
geneID00336	1481
geneID00337	97
geneID00338	217
geneID00339	193
geneID00340	71
geneID00341	161
geneID00342	9277
geneID00343	280
geneID00344	366
geneID00345	1115
geneID00346	87
geneID00347	1
geneID00348	596
geneID00349	163
geneID00350	20
geneID00351	0
geneID00352	0
geneID00353	229
geneID00354	1556
geneID00355	7738
geneID00356	1942
geneID00357	1838
geneID00358	650
geneID00359	0
geneID00360	0
geneID00361	0
geneID00362	5684
geneID00363	2
geneID00364	0
geneID00365	0
geneID00366	1699
geneID00367	1145
geneID00368	1212
geneID00369	72
geneID00370	735
geneID00371	121
geneID00372	0
geneID00373	50
geneID00374	142
geneID00375	661
geneID00376	20
geneID00377	3
geneID00378	224
geneID00379	0
geneID00380	739
geneID00381	185
geneID00382	221
geneID00383	0
geneID00384	297
geneID00385	8
geneID00386	0
geneID00387	1170
geneID00388	0
geneID00389	1904
geneID00390	141
geneID00391	477
geneID00392	434
geneID00393	1976
geneID00394	149
geneID00395	305
geneID00396	0
geneID00397	671
geneID00398	341
geneID00399	631
geneID00400	1068
geneID00401	7549
geneID00402	214
geneID00403	63
geneID00404	1565
geneID00405	636
geneID00406	1273
geneID00407	19
geneID00408	0
geneID00409	455
geneID00410	510
geneID00411	49
geneID00412	91
geneID00413	272
geneID00414	256
geneID00415	705
geneID00416	231
geneID00417	325
geneID00418	309
geneID00419	327
geneID00420	194
geneID00421	8
geneID00422	1080
geneID00423	5
geneID00424	174
geneID00425	0
geneID00426	460
geneID00427	159
geneID00428	21
geneID00429	294
geneID00430	0
geneID00431	0
geneID00432	0
geneID00433	12
geneID00434	363
geneID00435	0
geneID00436	1151
geneID00437	1481
geneID00438	285
geneID00439	254
geneID00440	922
geneID00441	9375
geneID00442	309
geneID00443	286
geneID00444	303
geneID00445	12
geneID00446	1107
geneID00447	0
geneID00448	0
geneID00449	12
geneID00450	419
geneID00451	0
geneID00452	0
geneID00453	0
geneID00454	52
geneID00455	15
geneID00456	922
geneID00457	0
geneID00458	3
geneID00459	477
geneID00460	505
geneID00461	107
geneID00462	566
geneID00463	573
geneID00464	8
geneID00465	655
geneID00466	30
geneID00467	723
geneID00468	454
geneID00469	2
geneID00470	482
geneID00471	642
geneID00472	32
geneID00473	852
geneID00474	0
geneID00475	946
geneID00476	1
geneID00477	71
geneID00478	6
geneID00479	245
geneID00480	962
geneID00481	0
geneID00482	4
geneID00483	0
geneID00484	481
geneID00485	298
geneID00486	3
geneID00487	0
geneID00488	318
geneID00489	268
geneID00490	149
geneID00491	0
geneID00492	0
geneID00493	348
geneID00494	0
geneID00495	26
geneID00496	6
geneID00497	1
geneID00498	403
geneID00499	549
geneID00500	81
geneID00501	0
geneID00502	178
geneID00503	0
geneID00504	0
geneID00505	0
geneID00506	113
geneID00507	287
geneID00508	0
geneID00509	244
geneID00510	146
geneID00511	50
geneID00512	706
geneID00513	291
geneID00514	264
geneID00515	4149
geneID00516	230
geneID00517	303
geneID00518	0
geneID00519	798
geneID00520	8
geneID00521	221
geneID00522	1040
geneID00523	0
geneID00524	0
geneID00525	0
geneID00526	460
geneID00527	386
geneID00528	978
geneID00529	178
geneID00530	0
geneID00531	1532
geneID00532	324
geneID00533	0
geneID00534	1
geneID00535	3493
geneID00536	97
geneID00537	308
geneID00538	732
geneID00539	325
geneID00540	36
geneID00541	715
geneID00542	497
geneID00543	0
geneID00544	501
geneID00545	0
geneID00546	0
geneID00547	49
geneID00548	1
geneID00549	91
geneID00550	127
geneID00551	5
geneID00552	22
geneID00553	414
geneID00554	3487
geneID00555	893
geneID00556	923
geneID00557	1188
geneID00558	0
geneID00559	1703
geneID00560	405
geneID00561	87
geneID00562	22
geneID00563	170
geneID00564	0
geneID00565	670
geneID00566	6
geneID00567	0
geneID00568	0
geneID00569	1
geneID00570	31
geneID00571	3333
geneID00572	424
geneID00573	982
geneID00574	748
geneID00575	2552
geneID00576	168
geneID00577	359
geneID00578	82
geneID00579	147
geneID00580	398
geneID00581	571
geneID00582	51
geneID00583	105
geneID00584	325
geneID00585	499
geneID00586	337
geneID00587	24
geneID00588	1269
geneID00589	0
geneID00590	1101
geneID00591	452
geneID00592	297
geneID00593	58
geneID00594	468
geneID00595	47
geneID00596	321
geneID00597	53
geneID00598	41
geneID00599	266
geneID00600	322
geneID00601	2225
geneID00602	20192
geneID00603	460
geneID00604	766
geneID00605	319
geneID00606	1288
geneID00607	448
geneID00608	16
geneID00609	6299
geneID00610	252
geneID00611	221
geneID00612	383
geneID00613	93
geneID00614	0
geneID00615	604
geneID00616	9
geneID00617	219
geneID00618	106
geneID00619	448
geneID00620	837
geneID00621	1000
geneID00622	224
geneID00623	0
geneID00624	0
geneID00625	0
geneID00626	1
geneID00627	6449
geneID00628	738
geneID00629	1
geneID00630	2
geneID00631	0
geneID00632	40
geneID00633	540
geneID00634	259
geneID00635	1
geneID00636	407
geneID00637	148
geneID00638	15
geneID00639	3
geneID00640	788
geneID00641	868
geneID00642	26
geneID00643	1382
geneID00644	60
geneID00645	69
geneID00646	35
geneID00647	2870
geneID00648	2
geneID00649	0
geneID00650	586
geneID00651	0
geneID00652	174
geneID00653	0
geneID00654	455
geneID00655	1519
geneID00656	203
geneID00657	373
geneID00658	122
geneID00659	430
geneID00660	64
geneID00661	80
geneID00662	215
geneID00663	40
geneID00664	31
geneID00665	222
geneID00666	9358
geneID00667	1
geneID00668	0
geneID00669	511
geneID00670	676
geneID00671	1820
geneID00672	12
geneID00673	0
geneID00674	0
geneID00675	26
geneID00676	399
geneID00677	1
geneID00678	151
geneID00679	23
geneID00680	0
geneID00681	370
geneID00682	2
geneID00683	0
geneID00684	186
geneID00685	2
geneID00686	23
geneID00687	0
geneID00688	547
geneID00689	160
geneID00690	476
geneID00691	0
geneID00692	0
geneID00693	0
geneID00694	505
geneID00695	673
geneID00696	0
geneID00697	44
geneID00698	342
geneID00699	1
geneID00700	157
geneID00701	155
geneID00702	0
geneID00703	576
geneID00704	680
geneID00705	385
