genes	counts
geneID00001	65
geneID00002	365
geneID00003	231
geneID00004	753
geneID00005	495
geneID00006	421
geneID00007	2
geneID00008	0
geneID00009	1494
geneID00010	2211
geneID00011	3894
geneID00012	102
geneID00013	0
geneID00014	170
geneID00015	1
geneID00016	276
geneID00017	8
geneID00018	564
geneID00019	692
geneID00020	7
geneID00021	16
geneID00022	27
geneID00023	473
geneID00024	582
geneID00025	106
geneID00026	197
geneID00027	121
geneID00028	6
geneID00029	441
geneID00030	0
geneID00031	265
geneID00032	1357
geneID00033	3
geneID00034	0
geneID00035	7646
geneID00036	22
geneID00037	154
geneID00038	1
geneID00039	78
geneID00040	400
geneID00041	61
geneID00042	0
geneID00043	0
geneID00044	0
geneID00045	8
geneID00046	302
geneID00047	204
geneID00048	111
geneID00049	0
geneID00050	0
geneID00051	21
geneID00052	0
geneID00053	1
geneID00054	343
geneID00055	72
geneID00056	555
geneID00057	14
geneID00058	1
geneID00059	975
geneID00060	880
geneID00061	0
geneID00062	21
geneID00063	0
geneID00064	0
geneID00065	211
geneID00066	621
geneID00067	4080
geneID00068	405
geneID00069	1
geneID00070	367
geneID00071	30
geneID00072	80
geneID00073	0
geneID00074	359
geneID00075	16
geneID00076	43
geneID00077	390
geneID00078	103
geneID00079	68
geneID00080	323
geneID00081	172
geneID00082	22
geneID00083	78
geneID00084	358
geneID00085	209
geneID00086	1121
geneID00087	544
geneID00088	14
geneID00089	624
geneID00090	319
geneID00091	46
geneID00092	419
geneID00093	113
geneID00094	111
geneID00095	395
geneID00096	337
geneID00097	267
geneID00098	286
geneID00099	339
geneID00100	1653
geneID00101	501
geneID00102	1
geneID00103	339
geneID00104	115
geneID00105	192
geneID00106	189
geneID00107	5
geneID00108	0
geneID00109	177
geneID00110	133
geneID00111	164
geneID00112	5
geneID00113	0
geneID00114	1858
geneID00115	536
geneID00116	362
geneID00117	625
geneID00118	455
geneID00119	660
geneID00120	1371
geneID00121	351
geneID00122	2668
geneID00123	359
geneID00124	175
geneID00125	127
geneID00126	40
geneID00127	2413
geneID00128	0
geneID00129	10
geneID00130	1
geneID00131	2
geneID00132	105
geneID00133	240
geneID00134	2531
geneID00135	253
geneID00136	79
geneID00137	289
geneID00138	0
geneID00139	0
geneID00140	294
geneID00141	21
geneID00142	10
geneID00143	11
geneID00144	0
geneID00145	227
geneID00146	65
geneID00147	4
geneID00148	0
geneID00149	11
geneID00150	0
geneID00151	328
geneID00152	73
geneID00153	8
geneID00154	0
geneID00155	0
geneID00156	19
geneID00157	2
geneID00158	147
geneID00159	0
geneID00160	1490
geneID00161	0
geneID00162	0
geneID00163	4
geneID00164	0
geneID00165	0
geneID00166	3175
geneID00167	0
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	0
geneID00174	187
geneID00175	14
geneID00176	48
geneID00177	39
geneID00178	246
geneID00179	906
geneID00180	0
geneID00181	0
geneID00182	297
geneID00183	4022
geneID00184	103
geneID00185	98
geneID00186	0
geneID00187	12117
geneID00188	5
geneID00189	280
geneID00190	19
geneID00191	0
geneID00192	95
geneID00193	9
geneID00194	1
geneID00195	1467
geneID00196	0
geneID00197	38
geneID00198	596
geneID00199	307
geneID00200	596
geneID00201	5
geneID00202	658
geneID00203	1
geneID00204	337
geneID00205	16
geneID00206	13
geneID00207	245
geneID00208	0
geneID00209	300
geneID00210	0
geneID00211	394
geneID00212	461
geneID00213	1
geneID00214	0
geneID00215	0
geneID00216	183
geneID00217	770
geneID00218	0
geneID00219	15
geneID00220	1289
geneID00221	1
geneID00222	669
geneID00223	238
geneID00224	120
geneID00225	0
geneID00226	212
geneID00227	519
geneID00228	6
geneID00229	2832
geneID00230	655
geneID00231	252
geneID00232	722
geneID00233	5
geneID00234	147
geneID00235	237
geneID00236	0
geneID00237	49
geneID00238	443
geneID00239	241
geneID00240	0
geneID00241	315
geneID00242	95
geneID00243	91
geneID00244	561
geneID00245	76
geneID00246	214
geneID00247	758
geneID00248	2
geneID00249	684
geneID00250	47
geneID00251	582
geneID00252	595
geneID00253	320
geneID00254	324
geneID00255	187
geneID00256	0
geneID00257	9
geneID00258	773
geneID00259	66
geneID00260	105
geneID00261	5
geneID00262	561
geneID00263	552
geneID00264	3412
geneID00265	0
geneID00266	46
geneID00267	45
geneID00268	184
geneID00269	570
geneID00270	53
geneID00271	14
geneID00272	253
geneID00273	308
geneID00274	2259
geneID00275	113
geneID00276	0
geneID00277	1971
geneID00278	72
geneID00279	20
geneID00280	1
geneID00281	1933
geneID00282	384
geneID00283	0
geneID00284	29
geneID00285	0
geneID00286	73
geneID00287	203
geneID00288	86
geneID00289	146
geneID00290	104
geneID00291	1079
geneID00292	0
geneID00293	5
geneID00294	0
geneID00295	40
geneID00296	441
geneID00297	10
geneID00298	3
geneID00299	1408
geneID00300	31
geneID00301	0
geneID00302	0
geneID00303	441
geneID00304	24
geneID00305	954
geneID00306	10
geneID00307	332
geneID00308	25
geneID00309	92
geneID00310	241
geneID00311	33
geneID00312	49
geneID00313	0
geneID00314	34
geneID00315	175
geneID00316	142
geneID00317	580
geneID00318	106
geneID00319	389
geneID00320	77
geneID00321	198
geneID00322	2569
geneID00323	11
geneID00324	41
geneID00325	139
geneID00326	1109
geneID00327	189
geneID00328	1039
geneID00329	43
geneID00330	299
geneID00331	2257
geneID00332	0
geneID00333	0
geneID00334	672
geneID00335	345
geneID00336	1223
geneID00337	79
geneID00338	162
geneID00339	109
geneID00340	33
geneID00341	113
geneID00342	6809
geneID00343	130
geneID00344	254
geneID00345	852
geneID00346	64
geneID00347	0
geneID00348	390
geneID00349	108
geneID00350	15
geneID00351	0
geneID00352	0
geneID00353	206
geneID00354	1083
geneID00355	4936
geneID00356	1284
geneID00357	1088
geneID00358	458
geneID00359	2
geneID00360	0
geneID00361	2
