genes	counts
geneID00397	354
geneID00398	122
geneID00399	123
geneID00400	671
geneID00401	4305
geneID00402	126
geneID00403	24
geneID00404	656
geneID00405	354
geneID00406	521
geneID00407	8
geneID00408	0
geneID00409	161
geneID00410	214
geneID00411	15
geneID00412	65
geneID00413	98
geneID00414	122
geneID00415	306
geneID00416	80
geneID00417	128
geneID00418	136
geneID00419	121
geneID00420	91
geneID00421	1
geneID00422	215
geneID00423	1
geneID00424	57
geneID00425	0
geneID00426	184
geneID00427	56
geneID00428	5
geneID00429	119
geneID00430	0
geneID00431	0
geneID00432	0
geneID00433	3
geneID00434	205
geneID00435	0
geneID00436	320
geneID00437	624
geneID00438	109
geneID00439	70
geneID00440	377
geneID00441	3225
geneID00442	107
geneID00443	95
geneID00444	97
geneID00445	5
geneID00446	482
geneID00447	0
geneID00448	0
geneID00449	3
geneID00450	140
geneID00451	0
geneID00452	0
geneID00453	0
geneID00454	26
geneID00455	3
geneID00456	412
geneID00457	1
geneID00458	0
geneID00459	182
geneID00460	204
geneID00461	37
geneID00462	383
geneID00463	179
geneID00464	8
geneID00465	260
geneID00466	7
geneID00467	280
geneID00468	188
geneID00469	1
geneID00470	270
geneID00471	353
geneID00472	33
geneID00473	353
geneID00474	0
geneID00475	470
geneID00476	0
geneID00477	35
geneID00478	7
geneID00479	64
geneID00480	560
geneID00481	0
geneID00482	2
geneID00483	0
geneID00484	242
geneID00485	85
geneID00486	2
geneID00487	0
geneID00488	115
geneID00489	150
geneID00490	68
geneID00491	0
geneID00492	0
geneID00493	134
geneID00494	0
geneID00495	10
geneID00496	2
geneID00497	0
geneID00498	245
geneID00499	201
geneID00500	27
geneID00501	0
geneID00502	78
geneID00503	0
geneID00504	0
geneID00505	0
geneID00506	43
geneID00507	119
geneID00508	0
geneID00509	81
geneID00510	21
geneID00511	13
geneID00512	307
geneID00513	79
geneID00514	66
geneID00515	1305
geneID00516	101
geneID00517	113
geneID00518	0
geneID00519	325
geneID00520	8
geneID00521	82
geneID00522	629
geneID00523	0
geneID00524	0
geneID00525	0
geneID00526	241
geneID00527	160
geneID00528	465
geneID00529	78
geneID00530	0
geneID00531	755
geneID00532	125
geneID00533	0
geneID00534	0
geneID00535	1323
geneID00536	28
geneID00537	110
geneID00538	317
geneID00539	188
geneID00540	34
geneID00541	155
geneID00542	183
geneID00543	0
geneID00544	221
geneID00545	0
geneID00546	0
geneID00547	29
geneID00548	0
geneID00549	45
geneID00550	55
geneID00551	3
geneID00552	12
geneID00553	180
geneID00554	1411
geneID00555	338
geneID00556	363
geneID00557	963
geneID00558	0
geneID00559	916
geneID00560	156
geneID00561	33
geneID00562	7
geneID00563	65
geneID00564	0
geneID00565	277
geneID00566	3
geneID00567	0
geneID00568	0
geneID00569	0
geneID00570	10
geneID00571	1086
geneID00572	205
geneID00573	387
geneID00574	258
geneID00575	1175
geneID00576	67
geneID00577	171
geneID00578	25
geneID00579	64
geneID00580	106
geneID00581	190
geneID00582	17
geneID00583	59
geneID00584	126
geneID00585	181
geneID00586	109
geneID00587	15
geneID00588	487
geneID00589	3
geneID00590	560
geneID00591	189
geneID00592	115
geneID00593	16
geneID00594	278
geneID00595	22
geneID00596	92
geneID00597	14
geneID00598	12
geneID00599	83
geneID00600	114
geneID00601	1205
geneID00602	7484
geneID00603	225
geneID00604	295
geneID00605	130
geneID00606	724
geneID00607	214
geneID00608	4
geneID00609	2557
geneID00610	98
geneID00611	97
geneID00612	152
geneID00613	39
geneID00614	0
geneID00615	282
geneID00616	2
geneID00617	117
geneID00618	57
geneID00619	236
geneID00620	270
geneID00621	641
geneID00622	106
geneID00623	0
geneID00624	0
geneID00625	0
geneID00626	0
geneID00627	3373
geneID00628	274
geneID00629	1
geneID00630	1
geneID00631	0
geneID00632	21
geneID00633	226
geneID00634	77
geneID00635	0
geneID00636	194
geneID00637	47
geneID00638	6
geneID00639	1
geneID00640	318
geneID00641	317
geneID00642	22
geneID00643	524
geneID00644	22
geneID00645	28
geneID00646	23
geneID00647	1169
geneID00648	4
geneID00649	0
geneID00650	227
geneID00651	0
geneID00652	52
geneID00653	0
geneID00654	240
geneID00655	661
geneID00656	111
geneID00657	130
geneID00658	40
geneID00659	160
geneID00660	16
geneID00661	32
geneID00662	59
geneID00663	18
geneID00664	15
geneID00665	107
geneID00666	3856
geneID00667	0
geneID00668	0
geneID00669	173
geneID00670	515
geneID00671	831
geneID00672	3
geneID00673	0
geneID00674	0
geneID00675	11
geneID00676	153
geneID00677	1
geneID00678	41
geneID00679	6
geneID00680	0
geneID00681	159
geneID00682	1
geneID00683	0
geneID00684	105
geneID00685	0
geneID00686	12
geneID00687	0
geneID00688	327
geneID00689	58
geneID00690	233
geneID00691	0
geneID00692	0
geneID00693	0
geneID00694	224
geneID00695	415
geneID00696	0
geneID00697	30
geneID00698	160
geneID00699	0
geneID00700	64
geneID00701	22
geneID00702	0
geneID00703	199
geneID00704	294
geneID00705	283
geneID00706	0
geneID00707	0
geneID00708	327
geneID00709	363
geneID00710	7
geneID00711	110
geneID00712	114
geneID00713	0
geneID00714	51
geneID00715	51
geneID00716	0
geneID00717	55
geneID00718	3082
geneID00719	1
geneID00720	1719
geneID00721	1
geneID00722	266
geneID00723	1519
geneID00724	369
geneID00725	258
geneID00726	0
geneID00727	0
geneID00728	88
geneID00729	47
geneID00730	0
geneID00731	3690
geneID00732	0
geneID00733	1
geneID00734	183
geneID00735	1833
geneID00736	1481
geneID00737	2086
geneID00738	117
geneID00739	196
geneID00740	343
geneID00741	120
geneID00742	4
geneID00743	411
geneID00744	193
geneID00745	0
geneID00746	298
geneID00747	189
geneID00748	0
geneID00749	20
geneID00750	185
geneID00751	7
geneID00752	371
geneID00753	0
geneID00754	32
geneID00755	1
geneID00756	0
geneID00757	0
geneID00758	378
geneID00759	0
geneID00760	183
geneID00761	712
geneID00762	0
geneID00763	0
geneID00764	0
geneID00765	13
geneID00766	0
geneID00767	0
geneID00768	23
geneID00769	523
geneID00770	1072
geneID00771	261
geneID00772	143
geneID00773	37
geneID00774	31
geneID00775	563
geneID00776	12
geneID00777	87
geneID00778	4
geneID00779	42
geneID00780	0
geneID00781	19
geneID00782	1
geneID00783	9
geneID00784	111
geneID00785	4538
geneID00786	283
geneID00787	3585
geneID00788	79
geneID00789	90
geneID00790	390
geneID00791	395
geneID00792	0
geneID00793	1
geneID00794	373
geneID00795	85
geneID00796	169
geneID00797	170
geneID00798	533
geneID00799	350
geneID00800	9
geneID00801	490
geneID00802	1968
geneID00803	72
geneID00804	823
geneID00805	235
geneID00806	1358
geneID00807	238
geneID00808	560
geneID00809	107
geneID00810	495
geneID00811	165
geneID00812	331
geneID00813	30
geneID00814	852
geneID00815	122
geneID00816	309
geneID00817	0
geneID00818	381
geneID00819	0
geneID00820	281
geneID00821	76
geneID00822	106
geneID00823	19
geneID00824	123
geneID00825	114
geneID00826	33
geneID00827	311
geneID00828	0
geneID00829	40
geneID00830	13
geneID00831	223
geneID00832	753
geneID00833	198
geneID00834	69
geneID00835	6
geneID00836	1815
geneID00837	6
geneID00838	39
geneID00839	403
geneID00840	17
geneID00841	46
geneID00842	1
geneID00843	151
geneID00844	352
geneID00845	266
geneID00846	0
geneID00847	1
geneID00848	117
geneID00849	537
geneID00850	413
geneID00851	0
geneID00852	0
geneID00853	15
geneID00854	33
geneID00855	361
geneID00856	137
geneID00857	0
geneID00858	0
geneID00859	212
geneID00860	910
geneID00861	295
geneID00862	461
geneID00863	12
geneID00864	0
geneID00865	425
geneID00866	16
geneID00867	0
geneID00868	8
geneID00869	54
geneID00870	31
geneID00871	1781
geneID00872	1752
geneID00873	27
geneID00874	159
geneID00875	0
geneID00876	0
geneID00877	131
geneID00878	0
geneID00879	488
geneID00880	201
geneID00881	174
geneID00882	123
geneID00883	1016
geneID00884	81
geneID00885	248
geneID00886	1933
geneID00887	2
geneID00888	0
geneID00889	4
geneID00890	0
geneID00891	142
geneID00892	3
geneID00893	19
geneID00894	100
geneID00895	421
geneID00896	369
geneID00897	22
geneID00898	259
geneID00899	34
geneID00900	291
geneID00901	17
geneID00902	0
geneID00903	170
geneID00904	52
geneID00905	0
geneID00906	198
geneID00907	73
geneID00908	0
geneID00909	1
geneID00910	129
geneID00911	473
geneID00912	10
geneID00913	108
geneID00914	2754
geneID00915	116
geneID00916	3
geneID00917	2534
geneID00918	0
geneID00919	292
geneID00920	2485
geneID00921	58
geneID00922	34
geneID00923	435
geneID00924	0
geneID00925	31
geneID00926	4902
geneID00927	151
geneID00928	85
geneID00929	0
geneID00930	344
geneID00931	48
geneID00932	1273
geneID00933	800
geneID00934	1456
geneID00935	1471
geneID00936	0
geneID00937	11
geneID00938	591
geneID00939	101
geneID00940	254
geneID00941	4
geneID00942	277
geneID00943	78
geneID00944	599
geneID00945	211
geneID00946	62
geneID00947	230
geneID00948	224
geneID00949	5
geneID00950	6
geneID00951	402
geneID00952	23
geneID00953	133
geneID00954	0
geneID00955	5
geneID00956	0
geneID00957	132
geneID00958	0
geneID00959	74
geneID00960	212
geneID00961	496
geneID00962	35
geneID00963	0
geneID00964	1
