genes	counts
geneID00001	54
geneID00002	213
geneID00003	190
geneID00004	371
geneID00005	461
geneID00006	505
geneID00007	0
geneID00008	0
geneID00009	1483
geneID00010	2587
geneID00011	4199
geneID00012	57
geneID00013	0
geneID00014	178
geneID00015	4
geneID00016	217
geneID00017	6
geneID00018	528
geneID00019	636
geneID00020	6
geneID00021	8
geneID00022	14
geneID00023	345
geneID00024	363
geneID00025	107
geneID00026	147
geneID00027	62
geneID00028	2
geneID00029	295
geneID00030	0
geneID00031	203
geneID00032	1072
geneID00033	0
geneID00034	3
geneID00035	5516
geneID00036	17
geneID00037	173
geneID00038	0
geneID00039	49
geneID00040	304
geneID00041	52
geneID00042	0
geneID00043	0
geneID00044	0
geneID00045	7
geneID00046	222
geneID00047	150
geneID00048	76
geneID00049	0
geneID00050	0
geneID00051	8
geneID00052	0
geneID00053	0
geneID00054	262
geneID00055	60
geneID00056	484
geneID00057	9
geneID00058	0
geneID00059	687
geneID00060	774
geneID00061	0
geneID00062	16
geneID00063	1
geneID00064	0
geneID00065	150
geneID00066	527
geneID00067	4253
geneID00068	429
geneID00069	0
geneID00070	209
geneID00071	13
geneID00072	31
geneID00073	0
geneID00074	252
geneID00075	13
geneID00076	35
geneID00077	278
geneID00078	114
geneID00079	57
geneID00080	263
geneID00081	108
geneID00082	21
geneID00083	86
geneID00084	226
geneID00085	85
geneID00086	904
geneID00087	554
geneID00088	21
geneID00089	469
geneID00090	243
geneID00091	57
geneID00092	290
geneID00093	86
geneID00094	67
geneID00095	426
geneID00096	225
geneID00097	201
geneID00098	299
geneID00099	289
geneID00100	1183
geneID00101	479
geneID00102	8
geneID00103	285
geneID00104	73
geneID00105	111
geneID00106	173
geneID00107	0
geneID00108	0
geneID00109	100
geneID00110	101
geneID00111	144
geneID00112	1
geneID00113	0
geneID00114	1120
geneID00115	609
geneID00116	302
geneID00117	477
geneID00118	269
geneID00119	554
geneID00120	1392
geneID00121	247
geneID00122	2411
geneID00123	256
geneID00124	150
geneID00125	154
geneID00126	46
geneID00127	2006
geneID00128	0
geneID00129	8
geneID00130	0
geneID00131	2
geneID00132	83
geneID00133	219
geneID00134	2863
geneID00135	198
geneID00136	59
geneID00137	241
geneID00138	1
geneID00139	0
geneID00140	338
geneID00141	2
geneID00142	1
geneID00143	3
geneID00144	0
geneID00145	171
geneID00146	46
geneID00147	4
geneID00148	0
geneID00149	4
geneID00150	0
geneID00151	266
geneID00152	57
geneID00153	9
geneID00154	0
geneID00155	0
geneID00156	19
geneID00157	3
geneID00158	144
geneID00159	0
geneID00160	1775
geneID00161	0
geneID00162	2
geneID00163	3
geneID00164	0
geneID00165	0
geneID00166	3424
geneID00167	0
geneID00168	0
geneID00169	0
geneID00170	0
geneID00171	0
geneID00172	0
geneID00173	0
geneID00174	148
geneID00175	7
geneID00176	41
geneID00177	34
geneID00178	201
geneID00179	975
geneID00180	0
geneID00181	0
geneID00182	237
geneID00183	3144
geneID00184	85
geneID00185	92
geneID00186	0
geneID00187	11831
geneID00188	13
geneID00189	244
geneID00190	17
geneID00191	0
geneID00192	94
geneID00193	4
geneID00194	3
geneID00195	1243
geneID00196	1
geneID00197	31
geneID00198	605
geneID00199	186
geneID00200	383
geneID00201	2
geneID00202	539
geneID00203	2
geneID00204	381
geneID00205	17
geneID00206	4
geneID00207	168
geneID00208	0
geneID00209	191
geneID00210	0
geneID00211	264
geneID00212	330
geneID00213	0
geneID00214	0
geneID00215	0
geneID00216	151
geneID00217	519
geneID00218	3
geneID00219	29
geneID00220	740
geneID00221	0
geneID00222	451
geneID00223	146
geneID00224	89
geneID00225	0
geneID00226	183
geneID00227	560
geneID00228	7
geneID00229	2718
geneID00230	649
geneID00231	265
geneID00232	573
geneID00233	3
geneID00234	113
geneID00235	170
geneID00236	0
geneID00237	59
geneID00238	370
geneID00239	209
geneID00240	1
geneID00241	304
geneID00242	72
geneID00243	80
geneID00244	393
geneID00245	59
geneID00246	140
geneID00247	606
geneID00248	0
geneID00249	731
geneID00250	33
geneID00251	473
geneID00252	492
geneID00253	292
geneID00254	233
geneID00255	140
geneID00256	0
geneID00257	5
geneID00258	440
geneID00259	36
geneID00260	73
geneID00261	0
geneID00262	425
geneID00263	404
geneID00264	3300
geneID00265	0
geneID00266	41
geneID00267	39
geneID00268	138
geneID00269	453
geneID00270	53
geneID00271	17
geneID00272	174
geneID00273	255
geneID00274	2216
geneID00275	70
geneID00276	2
geneID00277	2587
geneID00278	57
geneID00279	17
geneID00280	1
geneID00281	2537
geneID00282	340
geneID00283	0
geneID00284	15
geneID00285	0
geneID00286	65
geneID00287	143
geneID00288	66
geneID00289	137
geneID00290	102
geneID00291	932
geneID00292	0
geneID00293	8
geneID00294	0
geneID00295	24
geneID00296	303
geneID00297	12
geneID00298	4
geneID00299	1444
geneID00300	23
geneID00301	0
geneID00302	0
geneID00303	372
geneID00304	20
geneID00305	787
geneID00306	7
geneID00307	218
geneID00308	41
geneID00309	85
geneID00310	166
geneID00311	40
geneID00312	40
geneID00313	0
geneID00314	19
geneID00315	126
geneID00316	107
geneID00317	485
geneID00318	97
